feature_id,name,category,t_stat,p_value,ic,icir,hit_rate,sharpe,stability,nonlinear_r2,passed
hc_ratio_{w}d,高/收比 10日,N,-0.585,0.5591,-0.0572,-0.349,0.4925,-0.846,1.4233,0.0046,False
large_order_20d_2s,20日大单占比,F,-0.579,0.563,-0.0797,-0.398,0.4239,0.166,1.9193,0.0126,False
lc_ratio_{w}d,低/收比 10日,N,0.579,0.5627,0.0393,0.112,0.4955,-0.32,2.9001,0.0006,False
mom10d_vol10d,动量10d×波动10d,K,0.569,0.5695,0.0298,0.137,0.5373,0.759,1.864,0.0197,False
range_pct_20d,20日平均振幅,B,0.561,0.5749,0.0414,0.141,0.5134,0.747,2.8543,0.0,False
atr_pct_{w}d,ATR% 20日,N,0.561,0.5749,0.0414,0.141,0.5134,0.747,2.8543,0.0,False
rsi_diff_7_21,RSI7-RSI21,K,0.549,0.5835,0.0299,0.235,0.5015,0.479,1.0297,0.0016,False
ma_cross_50_100,MA50/100交叉,D,-0.541,0.5887,-0.0309,-0.075,0.5164,0.235,,0.0265,False
addr_activity_proxy_{w}d,地址活跃proxy 20日,J,0.507,0.6122,-0.0026,-0.013,0.4866,0.388,1.5374,0.0037,False
rsi_change_14,RSI(14)变化,E,-0.473,0.6363,-0.0161,-0.259,0.5254,-0.286,0.3729,0.0153,False
mom_accel_10d_30d,10日-30日动量差,A,0.466,0.6416,0.0277,0.15,0.5373,0.404,1.6992,0.0045,False
up_down_ratio_{w}d,涨跌比 20日,N,-0.46,0.6459,-0.07,-0.374,0.5194,-0.093,1.8361,0.0053,False
addr_activity_proxy_{w}d,地址活跃proxy 10日,J,0.454,0.6501,-0.0507,-0.245,0.4716,-0.323,2.1765,0.0598,False
whale_activity_20d,巨鲸活跃proxy 20日,J,-0.434,0.6647,-0.0472,-0.175,0.4627,-0.543,2.5139,0.0,False
tail_events_60d_2s,60日2σ尾部事件,C,0.418,0.6759,0.021,0.083,0.5254,0.369,2.6732,0.0164,False
near_low_{w}d,近120日低,M,-0.413,0.68,-0.0743,-0.258,0.4601,-0.057,2.8504,0.0192,False
rsi_30,RSI(30),E,0.403,0.6872,0.0185,0.158,0.4896,0.521,1.4352,0.0003,False
trend_strength_20d,趋势强度 20日,L,-0.393,0.6944,-0.1445,-0.39,0.4896,-0.512,3.4599,0.0883,False
autocorr_10d,自相关 lag10,L,-0.39,0.6965,0.0139,0.04,0.5343,-0.341,4.6615,0.0173,False
bb_accel_{period}d,BB加速度 20日,L,0.375,0.7082,0.045,0.343,0.5313,0.35,0.8817,0.013,False
ma_cross_100_200,MA100/200交叉,D,0.365,0.7154,-0.0182,-18171648.962,0.5104,0.216,0.4574,0.0015,False
mom_accel_5d_10d,5日-10日动量差,A,0.352,0.7249,0.0288,0.134,0.5313,0.006,1.5424,0.0001,False
near_low_{w}d,近60日低,M,-0.352,0.725,-0.0701,-0.369,0.4358,0.003,2.0086,0.0162,False
upper_wick_ratio_5d,上影线比 5日,M,0.347,0.729,-0.019,-0.082,0.4925,-0.397,2.3037,0.0061,False
lower_wick_ratio_5d,下影线比 5日,M,-0.347,0.729,0.019,0.082,0.5075,0.397,2.3037,0.0061,False
sharpe_20d,20日滚动夏普,A,0.311,0.7559,0.0112,0.129,0.4925,-0.159,0.6112,0.0061,False
parkinson_vol_20d,Parkinson 20日波动,B,0.286,0.7751,0.0282,0.105,0.4985,0.666,2.6356,0.0001,False
vol_ratio_20_100,量比(20/100),F,-0.281,0.779,-0.0441,-0.13,0.4932,-0.267,2.6389,0.0093,False
sharpe_60d,60日滚动夏普,A,0.279,0.7806,0.0077,0.086,0.4955,-0.016,0.5499,0.0105,False
mom_1d,1日动量,A,-0.26,0.7947,-0.0078,-0.087,0.4955,0.021,0.5411,0.0055,False
upper_wick_ratio_20d,上影线比 20日,M,-0.254,0.7993,-0.0383,-0.203,0.4716,-0.073,1.9355,0.001,False
lower_wick_ratio_20d,下影线比 20日,M,0.254,0.7993,0.0383,0.203,0.5284,0.073,1.9355,0.001,False
vol_20d,20日波动率,B,-0.218,0.8276,-0.0124,-0.04,0.4955,-0.072,3.0841,0.0,False
mom20d_vol10d,动量20d×波动10d,K,0.21,0.8338,-0.0251,-0.145,0.4836,0.2,1.8696,0.0111,False
mom_30d,30日动量,A,0.173,0.8624,0.0175,0.133,0.4896,0.426,1.3452,0.0051,False
sharpe_10d,10日滚动夏普,A,0.161,0.8725,0.0073,0.077,0.4955,0.011,0.6677,0.0013,False
large_order_20d_3s,20日大单占比,F,0.16,0.8727,-0.0113,-0.107,0.5015,0.645,,0.0,False
ma_cross_10_20,MA10/20交叉,D,-0.129,0.8978,-0.0612,-0.255,0.4537,-0.046,2.0994,0.0,False
near_low_{w}d,近20日低,M,-0.107,0.9145,-0.033,-0.132,0.4657,0.057,2.3842,0.0158,False
rsi_change_21,RSI(21)变化,E,-0.086,0.9314,0.0044,0.028,0.5045,-0.153,1.2003,0.0004,False
doji_count_5d,Doji数 5日,M,0.085,0.9327,0.0196,0.125,0.5134,0.092,1.4485,0.0002,False
ma_cross_10_50,MA10/50交叉,D,0.084,0.9329,-0.0461,-0.332,0.4597,0.108,1.4312,0.0,False
mom_250d,250日动量,A,0.071,0.9431,-0.0393,-0.185,0.5045,0.124,1.8111,0.0885,False
mom_accel_5d_20d,5日-20日动量差,A,-0.07,0.9446,0.0255,0.234,0.5284,0.255,1.0863,0.0008,False
ema_dist_50,EMA50距离,D,-0.051,0.9593,-0.0298,-0.442,0.4806,0.024,0.9681,0.0003,False
sharpe_120d,120日滚动夏普,A,-0.038,0.97,-0.0034,-0.039,0.4925,0.046,0.4943,0.0063,False
mom_2d,2日动量,A,0.037,0.9704,-0.0004,-0.004,0.5104,-0.239,0.6098,0.0013,False
mom_120d,120日动量,A,-0.032,0.9745,-0.0392,-0.149,0.5075,0.018,2.3448,0.0044,False
skew_kurt_20d,偏度×峰度 20日,K,-0.029,0.9766,0.0758,0.278,0.5463,-0.133,2.1717,0.0176,False
turnover_proxy_10d,换手率proxy 10日,F,0.019,0.9852,-0.0453,-0.146,0.5463,0.031,2.9414,0.004,False
