feature_id,name,category,ic,icir,t_stat,p_value,fdr_p,hit_rate,sharpe,stability,nonlinear_r2,n_obs,passed
mfi_30,MFI(30),P,0.0494,0.171,0.785,0.4327,0.7545,0.5121,0.346,0.2899,0.008,371,False
bb_width_50_2,"BB带宽(50,2)",E,-0.0528,-0.169,0.854,0.3934,0.7317,0.4894,0.147,0.3121,0.021,376,False
vwap_dev_50d,VWAP偏离 50日,P,-0.0275,-0.169,-0.056,0.9557,1.0,0.4707,0.008,0.1627,0.0,376,False
mfi_7,MFI(7),P,0.0253,0.154,0.462,0.6447,0.8905,0.5127,0.459,0.1641,0.0007,394,False
mom_accel_5d_10d,5-10日动量差,A,0.0384,0.151,0.346,0.7296,0.9786,0.5225,0.062,0.2551,0.0,400,False
fractal_eff_10d,分形效率10日,L,-0.0352,-0.151,-1.303,0.1933,0.5393,0.4925,-0.412,0.2339,0.0006,400,False
obv_price_corr_20d,OBV价格相关 20日,Q,0.0328,0.151,0.764,0.4454,0.7624,0.4936,0.004,0.217,0.0003,391,False
mom_accel_10d_30d,10-30日动量差,A,0.0241,0.15,0.216,0.829,1.0,0.5275,0.299,0.1608,0.0028,400,False
rs_vol_10d,RS波动率 10日,O,-0.0305,-0.142,-0.997,0.3191,0.6644,0.4798,0.252,0.2156,0.0019,396,False
ma_cross_20_60,MA20/60交叉,D,-0.0259,-0.134,-0.64,0.5225,0.8378,0.4744,-0.287,0.1934,0.0,371,False
mom_7d,7日动量,A,0.0245,0.129,1.24,0.2156,0.5784,0.5075,0.397,0.1903,0.0168,400,False
ma_slope_10,MA10斜率,D,0.0366,0.128,1.11,0.2679,0.6127,0.4706,0.522,0.2861,0.0005,391,False
autocorr_10d,自相关lag10,L,-0.0391,-0.123,-1.349,0.1783,0.5236,0.4798,-0.458,0.3191,0.0054,371,False
asymmetry_20d,20日涨跌不对称,C,0.035,0.121,0.854,0.3936,0.7272,0.46,0.731,0.2902,0.0383,400,False
mom20d_vol20d,动量20×波20,K,-0.0273,-0.118,0.516,0.6058,0.8536,0.4834,0.184,0.2314,0.0283,391,False
path_smoothness_50d,路径平滑度 50日,S,0.0385,0.115,1.129,0.2596,0.6138,0.4787,0.293,0.3358,0.0064,376,False
mom_10d,10日动量,A,0.0245,0.113,0.863,0.3888,0.743,0.51,0.679,0.2161,0.0035,400,False
close_location_20d,收盘位置 20日,P,0.0173,0.113,1.362,0.174,0.5277,0.4987,0.422,0.1528,0.046,391,False
buy_power_20d,买方力量 20日,R,0.0173,0.113,1.362,0.174,0.522,0.4987,0.422,0.1528,0.046,391,False
sell_power_20d,卖方力量 20日,R,-0.0173,-0.113,-1.362,0.174,0.5335,0.4885,-0.422,0.1528,0.046,391,False
mom_20d,20日动量,A,-0.023,-0.108,0.732,0.4646,0.7809,0.5,0.13,0.212,0.0095,400,False
co_ratio_10d,收/开比10日,N,0.0233,0.105,0.873,0.3831,0.758,0.5076,0.548,0.2222,0.0009,396,False
obv_price_corr_50d,OBV价格相关 50日,Q,-0.0378,-0.104,0.017,0.9862,1.0,0.4441,-0.657,0.3646,0.0148,376,False
rsi_7,RSI(7),E,-0.0213,-0.102,-0.526,0.5995,0.8803,0.51,0.151,0.2086,0.0008,400,False
cci_14,CCI(14),E,0.0198,0.1,0.905,0.3658,0.729,0.54,0.31,0.1987,0.0065,400,False
mom_250d,250日动量,A,0.009,0.095,0.845,0.3988,0.7225,0.515,0.354,0.0951,0.081,400,False
ma_dist_5_20,MA5/20距离,D,0.0266,0.093,1.238,0.2166,0.5755,0.468,0.858,0.2847,0.0006,391,False
close_location_10d,收盘位置 10日,P,-0.0186,-0.092,0.088,0.9297,1.0,0.4899,0.074,0.201,0.0164,396,False
buy_power_10d,买方力量 10日,R,-0.0186,-0.092,0.088,0.9297,1.0,0.4899,0.074,0.201,0.0164,396,False
sell_power_10d,卖方力量 10日,R,0.0186,0.092,-0.088,0.9297,1.0,0.4975,-0.074,0.201,0.0164,396,False
mom_30d,30日动量,A,0.0099,0.09,0.289,0.7724,1.0,0.49,0.417,0.1102,0.0012,400,False
mom_ratio_5_20,动量比 5/20日,S,0.0164,0.088,0.234,0.815,1.0,0.5275,0.338,0.1864,0.003,400,False
parkinson_ratio_20d,Parkinson比 20日,O,0.0211,0.085,1.193,0.2335,0.5869,0.4706,0.405,0.2483,0.002,391,False
max_dd_60d,60日最大回撤,A,0.0159,0.084,0.298,0.7661,1.0,0.4775,0.619,0.1891,0.0518,400,False
ema_dist_12,EMA12距离,D,0.016,0.084,1.056,0.2917,0.6459,0.5215,0.067,0.1908,0.0075,395,False
vol_20d,20日波动率,B,-0.0137,-0.07,-0.459,0.6466,0.8887,0.4885,-0.132,0.1952,0.0,391,False
vol_120d,120日波动率,B,0.0154,0.069,0.402,0.6881,0.9319,0.5132,0.401,0.2242,0.0221,341,False
kurt_120d,120日峰度,C,0.0231,0.068,1.52,0.1296,0.4464,0.5231,0.95,0.3409,0.0004,281,False
ma_cross_50_100,MA50/100交叉,D,0.0259,0.066,0.864,0.3881,0.7468,0.5157,0.521,0.3917,0.0038,351,False
mfi_change_14,MFI(14)变化,P,0.0064,0.063,0.143,0.8868,1.0,0.4818,0.135,0.1007,0.0246,384,False
mom10d_vol60d,动量10×波60,K,0.0141,0.062,0.67,0.5034,0.8311,0.504,0.574,0.2268,0.0112,371,False
vwap_dev_10d,VWAP偏离 10日,P,0.0093,0.06,0.666,0.5057,0.8251,0.5025,0.149,0.1546,0.0072,396,False
sharpe_120d,120日滚动Sharpe,A,0.006,0.059,1.05,0.2943,0.6465,0.5191,0.355,0.1021,0.0008,341,False
ema_dist_26,EMA26距离,D,-0.0102,-0.059,0.643,0.5206,0.8396,0.5052,0.105,0.1741,0.0029,388,False
ma_cross_20_100,MA20/100交叉,D,0.0184,0.058,0.73,0.4661,0.7787,0.5014,0.382,0.3144,0.0,351,False
mom_120d,120日动量,A,0.0137,0.054,0.848,0.3967,0.7234,0.5275,0.512,0.2548,0.0022,400,False
obv_price_corr_10d,OBV价格相关 10日,Q,-0.006,-0.051,1.196,0.2324,0.5949,0.4596,-0.17,0.1174,0.0144,396,False
ma_cross_5_60,MA5/60交叉,D,-0.0121,-0.049,0.843,0.4,0.72,0.4717,0.397,0.2454,0.0,371,False
mom10d_vol20d,动量10×波20,K,0.0131,0.048,0.523,0.6013,0.8692,0.5115,0.463,0.2716,0.0074,391,False
atr_pct_5d,ATR% 5日,N,0.0105,0.047,0.294,0.7687,1.0,0.509,0.361,0.2225,0.0058,387,False
atr_pct_10d,ATR% 10日,N,0.0105,0.047,0.294,0.7687,1.0,0.509,0.361,0.2225,0.0058,387,False
atr_pct_20d,ATR% 20日,N,0.0105,0.047,0.294,0.7687,1.0,0.509,0.361,0.2225,0.0058,387,False
